group,code,design,slabs_available,action
B,QZ-CHESEBOARD-30,"Chese board",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-ELVISGREY-30,"Elvis grey",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-GOLDENBROWN-30,"Golden brown",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-HORIZONCALCATTAGREY-30,"Horizon calcatta grey",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-KANDICE-30,"Kandice",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-LIPUIBMERCURY-30,"Lipuib mercury",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-LIQUIDMERCURY-30,"Liquid mercury",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-LUNALIGHT-30,"Luna Light",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-MANTHATTANGREY-30,"Manthattan grey",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-MARBLE-30,"Marble",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-MYSTERIOAVO-30,"Mysterio Avo",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-SILKENPERLAWHITE-30,"Silken Perla White",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-TRISHGREY-30,"Trish grey",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
